trial,accuracy,kappa,bands,status;;;;;;;;;;;;;;
1,55.67,0.278,GLCM_SR_B6_contrast_3;EVI;GLCM_SR_B6_contrast_7;MNDWI;NDWI;GLCM_SR_B5_var_3;Clay_Ratio;TNR;WDI;TCI;TCG;NDBI;Granulo_7;Clay_Index;GLCM_SR_B7_contrast_3,OK
2,58.00,0.296,Fe_Composite_Index;GLCM_SR_B6_contrast_3;Open_3;GLCM_SR_B6_idm_3;NDVI;SAVI;GLCM_SR_B6_idm_7;GLCM_SR_B6_var_3;TCG;Close_3;GLCM_SR_B7_contrast_3;Clay_Index;TNR;Granulo_7;NDBI,OK
3,56.33,0.284,TCI;GLCM_SR_B6_contrast_3;GLCM_SR_B6_idm_3;GLCM_SR_B6_var_3;GLCM_SR_B6_ent_7;NDWI;SAVI;Clay_Ratio;NDVI;Fe_Composite_Index;NDBI;GLCM_SR_B5_contrast_3;GLCM_SR_B6_idm_7;MNDWI;Open_3,OK
4,56.33,0.284,TCB;Fe_Composite_Index;EVI;GLCM_SR_B5_contrast_7;Open_3;TCG;GLCM_SR_B6_var_3;GLCM_SR_B6_idm_3;Clay_Index;NDBI;GLCM_SR_B6_ent_3;GLCM_SR_B6_contrast_7;GLCM_SR_B5_contrast_3;NDVI;MNDWI,OK
5,58.00,0.296,GLCM_SR_B6_ent_3;GLCM_SR_B6_contrast_7;Clay_Index;Fe_Composite_Index;GLCM_SR_B6_contrast_3;GLCM_SR_B6_idm_7;NDBI;Granulo_7;WDI;TNR;EVI;NDWI;SAVI;NBLI;BSI,OK
6,55.67,0.279,TCW;GLCM_SR_B6_contrast_3;GLCM_SR_B5_contrast_7;NBLI;WDI;TNR;NDWI;Clay_Ratio;GLCM_SR_B6_idm_3;Fe_Composite_Index;SAVI;GLCM_SR_B7_contrast_3;TNDI;TCI;BSI,OK
7,56.33,0.284,TNR;GLCM_SR_B6_idm_7;GLCM_SR_B6_idm_3;Open_3;Granulo_7;NDWI;TCB;GLCM_SR_B5_contrast_7;WDI;GLCM_SR_B6_ent_7;GLCM_SR_B5_contrast_3;GLCM_SR_B5_var_3;NDVI;Clay_Index;EVI,OK
8,56.33,0.284,EVI;NBLI;NDWI;GLCM_SR_B6_contrast_3;Granulo_7;TNDI;GLCM_SR_B6_var_3;MNDWI;TCB;GLCM_SR_B5_var_3;NDVI;GLCM_SR_B6_ent_7;GLCM_SR_B6_contrast_7;Fe_Oxide_Index;GLCM_SR_B6_idm_7,OK
9,59.00,0.304,GLCM_SR_B6_ent_3;Open_3;GLCM_SR_B6_contrast_7;TNR;TCB;NDVI;Granulo_7;GLCM_SR_B5_contrast_7;GLCM_SR_B5_contrast_3;MNDWI;EVI;Fe_Composite_Index;GLCM_SR_B7_contrast_3;GLCM_SR_B5_var_3;GLCM_SR_B6_idm_7,OK
10,59.67,0.310,GLCM_SR_B6_var_3;GLCM_SR_B6_idm_7;GLCM_SR_B6_ent_3;Open_3;EVI;BSI;GLCM_SR_B6_contrast_7;NDBI;Granulo_7;TCG;Fe_Composite_Index;GLCM_SR_B7_contrast_3;TCB;SAVI;TNR,OK
11,56.00,0.281,TCG;GLCM_SR_B6_contrast_3;GLCM_SR_B7_contrast_3;SAVI;Fe_Composite_Index;GLCM_SR_B6_var_3;GLCM_SR_B6_idm_7;TNR;GLCM_SR_B6_contrast_7;NBLI;TCW;GLCM_SR_B6_idm_3;BSI;GLCM_SR_B5_var_3;NDWI,OK
12,55.33,0.268,GLCM_SR_B5_contrast_3;NBLI;TCW;GLCM_SR_B5_contrast_7;GLCM_SR_B6_contrast_7;NDMI;SAVI;TNDI;NDBI;MNDWI;BSI;Granulo_7;GLCM_SR_B6_contrast_3;Fe_Composite_Index;WDI,OK
